Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
China,2022,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Export,77060009.0,12099883.0,Weight in kilograms,12099883.0,2
China,2022,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",Export,8329.0,733.0,Weight in kilograms,733.0,2
China,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Import,4641866.0,157167.0,Weight in kilograms,157167.0,2
China,2022,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",Import,2081090.0,132976.0,Weight in kilograms,132976.0,2
China,2022,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Import,51411813.0,8726150.0,Weight in kilograms,8726150.0,2
China,2022,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Export,45673.0,2810.0,Weight in kilograms,2810.0,2
China,2022,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Import,180915087.0,31187748.0,Weight in kilograms,31187748.0,2
China,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Import,1714521019.0,293126979.0,Weight in kilograms,293126979.0,2
China,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Export,9659037.0,787912.0,Weight in kilograms,787912.0,2
China,2022,"Meat; of sheep (including lamb), boneless cuts, frozen",Export,5437513.0,488003.0,Weight in kilograms,488003.0,2
China,2022,"Meat; of sheep (including lamb), boneless cuts, frozen",Import,120891544.0,24261232.0,Weight in kilograms,24261232.0,2
China,2022,"Meat; of goats, fresh, chilled or frozen",Export,4177545.0,328106.0,Weight in kilograms,328106.0,2
China,2022,"Meat; of goats, fresh, chilled or frozen",Import,1762290.0,292469.0,Weight in kilograms,292469.0,2
China,2022,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Import,8208952.0,4048513.0,Weight in kilograms,4048513.0,2
China,2022,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Export,4189745.0,235740.0,Weight in kilograms,235740.0,2
China,2022,"Offal, edible; of bovine animals, fresh or chilled",Import,24650.0,1291.0,Weight in kilograms,1291.0,2
China,2022,"Offal, edible; of bovine animals, tongues, frozen",Import,15374884.0,1049176.0,Weight in kilograms,1049176.0,2
China,2022,"Offal, edible; of bovine animals, livers, frozen",Import,387851.0,320146.0,Weight in kilograms,320146.0,2
China,2022,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Import,227992989.0,40549253.0,Weight in kilograms,40549253.0,2
China,2022,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Export,149996.0,90200.0,Weight in kilograms,90200.0,2
China,2022,"Offal, edible; of swine, livers, frozen",Import,311567.0,458474.0,Weight in kilograms,458474.0,2
China,2022,"Offal, edible; of swine, (other than livers), frozen",Import,2690860004.0,1037808231.0,Weight in kilograms,1037808231.0,2
China,2022,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Import,19557792.0,3342968.0,Weight in kilograms,3342968.0,2
China,2022,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Export,842951.0,205590.0,Weight in kilograms,205590.0,2
China,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",Export,286216045.0,75677316.0,Weight in kilograms,75677316.0,2
China,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Export,9814847.0,3206943.0,Weight in kilograms,3206943.0,2
China,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Import,10693198.0,6514636.0,Weight in kilograms,6514636.0,2
China,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",Export,8637813.0,2124621.0,Weight in kilograms,2124621.0,2
China,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Import,4097349179.0,1291696439.0,Weight in kilograms,1291696439.0,2
China,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Export,293826850.0,145881995.0,Weight in kilograms,145881995.0,2
China,2022,"Meat and edible offal; of turkeys, cuts and offal, frozen",Import,58069498.0,18225835.0,Weight in kilograms,18225835.0,2
China,2022,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",Export,49117733.0,17649918.0,Weight in kilograms,17649918.0,2
China,2022,"Meat and edible offal; of ducks, not cut in pieces, frozen",Export,24533125.0,14206062.0,Weight in kilograms,14206062.0,2
China,2022,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",Export,185280.0,333440.0,Weight in kilograms,333440.0,2
China,2022,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",Export,543910.0,217220.0,Weight in kilograms,217220.0,2
China,2022,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Export,8630928.0,4624085.0,Weight in kilograms,4624085.0,2
China,2022,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Import,59137.0,25165.0,Weight in kilograms,25165.0,2
China,2022,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",Export,82766519.0,14454910.0,Weight in kilograms,14454910.0,2
China,2022,"Meat and edible offal; of geese, not cut in pieces, frozen",Export,268562.0,49041.0,Weight in kilograms,49041.0,2
China,2022,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled",Export,2150420.0,435397.0,Weight in kilograms,435397.0,2
China,2022,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",Export,16075615.0,3725805.0,Weight in kilograms,3725805.0,2
China,2022,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",Import,17966963.0,2459583.0,Weight in kilograms,2459583.0,2
China,2022,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",Export,29466077.0,3944795.0,Weight in kilograms,3944795.0,2
China,2022,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Import,16542265.0,12731582.0,Weight in kilograms,12731582.0,2
China,2022,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Export,54341.0,30000.0,Weight in kilograms,30000.0,2
China,2022,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",Export,30041.0,1914.0,Weight in kilograms,1914.0,2
China,2022,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",Import,21894396.0,1240045.0,Weight in kilograms,1240045.0,2
China,2022,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",Export,454262.0,59364.0,Weight in kilograms,59364.0,2
China,2022,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",Export,1678476.0,153644.0,Weight in kilograms,153644.0,2
China,2022,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",Import,20992995.0,1055998.0,Weight in kilograms,1055998.0,2
China,2022,"Meat; salted, in brine, dried or smoked, of bovine animals",Export,7230.0,600.0,Weight in kilograms,600.0,2
