Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
Lao People's Dem. Rep.,2018,All Commodities,Import,5848036260.28,,No Quantity,
Lao People's Dem. Rep.,2018,All Commodities,Export,5814806369.18,,No Quantity,
Lao People's Dem. Rep.,2017,All Commodities,Import,5159709477.1,,No Quantity,
Lao People's Dem. Rep.,2017,All Commodities,Export,4909733654.96,,No Quantity,
Lao People's Dem. Rep.,2016,All Commodities,Import,4107068454.0,,No Quantity,
Lao People's Dem. Rep.,2016,All Commodities,Export,3124168977.0,,No Quantity,
Lao People's Dem. Rep.,2015,All Commodities,Import,3778389213.0,,No Quantity,
Lao People's Dem. Rep.,2015,All Commodities,Export,2985095357.0,,No Quantity,
Lao People's Dem. Rep.,2014,All Commodities,Import,4452378889.0,,No Quantity,
Lao People's Dem. Rep.,2014,All Commodities,Export,2572201001.0,,No Quantity,
Lao People's Dem. Rep.,2013,All Commodities,Import,3552279810.0,,No Quantity,
Lao People's Dem. Rep.,2013,All Commodities,Export,2987771796.0,,No Quantity,
Lao People's Dem. Rep.,2012,All Commodities,Import,2597521432.0,,No Quantity,
Lao People's Dem. Rep.,2012,All Commodities,Export,1597135450.0,,No Quantity,
Lao People's Dem. Rep.,2011,All Commodities,Import,2582095400.0,,No Quantity,
Lao People's Dem. Rep.,2011,All Commodities,Export,1898021883.0,,No Quantity,
Lao People's Dem. Rep.,2010,All Commodities,Import,1836634470.0,,No Quantity,
Lao People's Dem. Rep.,2010,All Commodities,Export,1908744656.0,,No Quantity,
Latvia,2022,All Commodities,Export,22494202398.607,,No Quantity,
Latvia,2022,All Commodities,Import,27901013028.901,,No Quantity,
Latvia,2021,All Commodities,Export,19458821916.273,,No Quantity,
Latvia,2021,All Commodities,Import,23085527945.038,,No Quantity,
Latvia,2020,All Commodities,Export,15196527243.77,,No Quantity,
Latvia,2020,All Commodities,Import,17315082294.263,,No Quantity,
Latvia,2019,All Commodities,Export,14447101696.605,,No Quantity,
Latvia,2019,All Commodities,Import,17767574788.627,,No Quantity,
Latvia,2018,All Commodities,Export,15064999864.072,,No Quantity,
Latvia,2018,All Commodities,Import,18612965523.027,,No Quantity,
Latvia,2017,All Commodities,Import,16053149440.461,,No Quantity,
Latvia,2017,All Commodities,Export,13189947231.041,,No Quantity,
Latvia,2016,All Commodities,Import,13736506776.631,,No Quantity,
Latvia,2016,All Commodities,Export,11607295065.319,,No Quantity,
Latvia,2015,All Commodities,Import,14095807354.84,,No Quantity,
Latvia,2015,All Commodities,Export,11649939894.566,,No Quantity,
