Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
Latvia,2014,All Commodities,Import,17127924107.815,,No Quantity,
Latvia,2014,All Commodities,Export,13782781935.396,,No Quantity,
Latvia,2013,All Commodities,Import,16778948555.0,,No Quantity,
Latvia,2013,All Commodities,Export,13324704654.0,,No Quantity,
Latvia,2012,All Commodities,Export,12685521524.0,,No Quantity,
Latvia,2012,All Commodities,Import,16082387658.0,,No Quantity,
Latvia,2011,All Commodities,Export,11988196196.0,,No Quantity,
Latvia,2011,All Commodities,Import,15430778744.0,,No Quantity,
Latvia,2010,All Commodities,Export,8850801231.0,,No Quantity,
Latvia,2010,All Commodities,Import,11143287701.0,,No Quantity,
Latvia,2009,All Commodities,Import,9346321657.962,,No Quantity,
Latvia,2009,All Commodities,Export,7148939953.219,,No Quantity,
Latvia,2008,All Commodities,Export,9268423118.537,,No Quantity,
Latvia,2008,All Commodities,Import,15750540051.367,,No Quantity,
Latvia,2007,All Commodities,Import,15171250893.519,,No Quantity,
Latvia,2007,All Commodities,Export,7878617579.102,,No Quantity,
Latvia,2006,All Commodities,Export,5891472502.0,,No Quantity,
Latvia,2006,All Commodities,Import,11427301264.0,,No Quantity,
Latvia,2005,All Commodities,Import,8615425220.662,,No Quantity,
Latvia,2005,All Commodities,Export,5112684064.824,,No Quantity,
Latvia,2004,All Commodities,Export,3805358822.653,,No Quantity,
Latvia,2004,All Commodities,Import,6734913290.245,,No Quantity,
Latvia,2003,All Commodities,Import,4810817136.298,,No Quantity,
Latvia,2003,All Commodities,Export,2656681428.068,,No Quantity,
Latvia,2002,All Commodities,Import,3360036455.453,,No Quantity,
Latvia,2002,All Commodities,Export,1895462153.968,,No Quantity,
Latvia,2001,All Commodities,Import,2805548324.377,,No Quantity,
Latvia,2001,All Commodities,Export,1601115193.866,,No Quantity,
Latvia,2000,All Commodities,Import,2541534185.442,,No Quantity,
Latvia,2000,All Commodities,Export,1486751176.04,,No Quantity,
Latvia,1999,All Commodities,Import,2946780984.0,,No Quantity,
Latvia,1999,All Commodities,Export,1723793807.0,,No Quantity,
Latvia,1998,All Commodities,Import,3191363072.0,,No Quantity,
Latvia,1998,All Commodities,Export,1811128064.0,,No Quantity,
Latvia,1997,All Commodities,Import,2720941056.0,,No Quantity,
Latvia,1997,All Commodities,Export,1671602048.0,,No Quantity,
Latvia,1996,All Commodities,Import,2319496960.0,,No Quantity,
Latvia,1996,All Commodities,Export,1443301376.0,,No Quantity,
Latvia,1995,All Commodities,Import,1818007680.0,,No Quantity,
Latvia,1995,All Commodities,Export,1305006592.0,,No Quantity,
Latvia,1994,All Commodities,Import,1241478784.0,,No Quantity,
Latvia,1994,All Commodities,Export,989689664.0,,No Quantity,
Lebanon,2022,All Commodities,Import,19500198659.0,,No Quantity,
Lebanon,2022,All Commodities,Re-Export,370537688.0,,No Quantity,
Lebanon,2022,All Commodities,Export,3862245374.0,,No Quantity,
Lebanon,2021,All Commodities,Export,4229976738.0,,No Quantity,
Lebanon,2021,All Commodities,Re-Export,343541107.0,,No Quantity,
Lebanon,2021,All Commodities,Import,13856703728.0,,No Quantity,
Lebanon,2020,All Commodities,Import,11354653390.0,,No Quantity,
Lebanon,2020,All Commodities,Export,3807461182.0,,No Quantity,
Lebanon,2020,All Commodities,Re-Export,263065181.0,,No Quantity,
Lebanon,2019,All Commodities,Import,19239178794.25,,No Quantity,
Lebanon,2019,All Commodities,Export,3731340090.67,,No Quantity,
Lebanon,2018,All Commodities,Export,2952759932.453,,No Quantity,
Lebanon,2018,All Commodities,Import,19982944051.103,,No Quantity,
Lebanon,2017,All Commodities,Import,19586709383.014,,No Quantity,
Lebanon,2017,All Commodities,Export,2844446138.102,,No Quantity,
Lebanon,2016,All Commodities,Export,2976561583.0,,No Quantity,
Lebanon,2016,All Commodities,Import,18702745744.0,,No Quantity,
Lebanon,2015,All Commodities,Export,2953388639.63,,No Quantity,
Lebanon,2015,All Commodities,Import,18599766657.832,,No Quantity,
Lebanon,2014,All Commodities,Export,3312205568.0,,No Quantity,
Lebanon,2014,All Commodities,Import,20487427600.0,,No Quantity,
Lebanon,2013,All Commodities,Export,3937065938.0,,No Quantity,
Lebanon,2013,All Commodities,Import,21234205985.0,,No Quantity,
Lebanon,2012,All Commodities,Export,4446163434.0,,No Quantity,
Lebanon,2012,All Commodities,Import,21146549423.0,,No Quantity,
Lebanon,2011,All Commodities,Export,4266856015.0,,No Quantity,
Lebanon,2011,All Commodities,Import,20162637390.0,,No Quantity,
Lebanon,2010,All Commodities,Export,4254184915.0,,No Quantity,
Lebanon,2010,All Commodities,Import,17969734783.0,,No Quantity,
Lebanon,2009,All Commodities,Export,3484154763.0,,No Quantity,
Lebanon,2009,All Commodities,Import,16231585205.0,,No Quantity,
Lebanon,2008,All Commodities,Export,3478305474.0,,No Quantity,
Lebanon,2008,All Commodities,Import,16136466067.0,,No Quantity,
Lebanon,2007,All Commodities,Export,2816320674.0,,No Quantity,
Lebanon,2007,All Commodities,Import,11814556538.0,,No Quantity,
Lebanon,2006,All Commodities,Export,2282513738.0,,No Quantity,
Lebanon,2006,All Commodities,Import,9395085285.0,,No Quantity,
Lebanon,2005,All Commodities,Export,1879013000.0,,No Quantity,
Lebanon,2005,All Commodities,Import,9326988000.0,,No Quantity,
Lebanon,2004,All Commodities,Import,9385039000.0,,No Quantity,
Lebanon,2004,All Commodities,Export,1744957000.0,,No Quantity,
Lebanon,2003,All Commodities,Export,1523934413.0,,No Quantity,
Lebanon,2003,All Commodities,Import,7167481673.0,,No Quantity,
Lebanon,2002,All Commodities,Import,6443840727.0,,No Quantity,
Lebanon,2002,All Commodities,Export,1045493207.0,,No Quantity,
Lebanon,2001,All Commodities,Import,7290372448.0,,No Quantity,
Lebanon,2001,All Commodities,Export,889296930.0,,No Quantity,
Lebanon,2000,All Commodities,Import,6226795136.0,,No Quantity,
Lebanon,2000,All Commodities,Export,714340424.0,,No Quantity,
Lebanon,1999,All Commodities,Import,6205816832.0,,No Quantity,
Lebanon,1999,All Commodities,Export,676761280.0,,No Quantity,
Lebanon,1998,All Commodities,Import,7053862912.0,,No Quantity,
Lebanon,1998,All Commodities,Export,660939840.0,,No Quantity,
Lebanon,1997,All Commodities,Import,7437826048.0,,No Quantity,
Lebanon,1997,All Commodities,Export,642229248.0,,No Quantity,
Lesotho,2021,All Commodities,Re-Export,18004587.598,,No Quantity,
Lesotho,2021,All Commodities,Export,948535188.45,,No Quantity,
Lesotho,2021,All Commodities,Import,1667948698.666,,No Quantity,
Lesotho,2020,All Commodities,Import,1280602129.636,,No Quantity,
Lesotho,2020,All Commodities,Re-Export,6683144.126,,No Quantity,
Lesotho,2020,All Commodities,Export,837285557.219,,No Quantity,
Lesotho,2019,All Commodities,Import,1589484996.016,,No Quantity,
Lesotho,2019,All Commodities,Re-Export,15930442.451,,No Quantity,
Lesotho,2019,All Commodities,Export,894907477.401,,No Quantity,
Lesotho,2018,All Commodities,Re-Export,11954399.017,,No Quantity,
Lesotho,2018,All Commodities,Import,1624617304.713,,No Quantity,
Lesotho,2018,All Commodities,Export,882385316.786,,No Quantity,
Lesotho,2017,All Commodities,Export,718669940.038,,No Quantity,
Lesotho,2017,All Commodities,Import,1664179036.39,,No Quantity,
Lesotho,2017,All Commodities,Re-Export,13109279.178,,No Quantity,
Lesotho,2016,All Commodities,Re-Export,22441042.53,,No Quantity,
Lesotho,2016,All Commodities,Export,664111776.875,,No Quantity,
Lesotho,2016,All Commodities,Import,1355765056.081,,No Quantity,
Lesotho,2015,All Commodities,Import,1421235144.187,,No Quantity,
Lesotho,2015,All Commodities,Export,605922653.454,,No Quantity,
Lesotho,2015,All Commodities,Re-Export,12850180.872,,No Quantity,
Lesotho,2014,All Commodities,Export,816326250.998,,No Quantity,
Lesotho,2014,All Commodities,Import,1405293358.971,,No Quantity,
Lesotho,2014,All Commodities,Re-Export,12728326.604,,No Quantity,
Lesotho,2013,All Commodities,Re-Export,24379131.146,,No Quantity,
Lesotho,2013,All Commodities,Import,1641952431.041,,No Quantity,
Lesotho,2013,All Commodities,Export,358575488.191,,No Quantity,
Lesotho,2012,All Commodities,Export,666184167.447,,No Quantity,
Lesotho,2012,All Commodities,Import,1466989431.016,,No Quantity,
Lesotho,2012,All Commodities,Re-Export,25479778.552,,No Quantity,
Lesotho,2011,All Commodities,Re-Export,25727084.888,,No Quantity,
Lesotho,2011,All Commodities,Export,752623433.839,,No Quantity,
Lesotho,2011,All Commodities,Import,1324175808.945,,No Quantity,
Lesotho,2010,All Commodities,Import,1171821370.342,,No Quantity,
Lesotho,2010,All Commodities,Export,487296344.418,,No Quantity,
Lesotho,2010,All Commodities,Re-Export,14443507.76,,No Quantity,
Lesotho,2009,All Commodities,Re-Export,13786425.119,,No Quantity,
Lesotho,2009,All Commodities,Export,602545142.901,,No Quantity,
Lesotho,2009,All Commodities,Import,806257352.901,,No Quantity,
Lesotho,2008,All Commodities,Re-Export,13968964.014,,No Quantity,
Lesotho,2008,All Commodities,Export,709878822.032,,No Quantity,
Lesotho,2008,All Commodities,Import,722806686.288,,No Quantity,
Lesotho,2004,All Commodities,Import,1399392992.0,,No Quantity,
Lesotho,2004,All Commodities,Export,968402491.0,,No Quantity,
Lesotho,2003,All Commodities,Import,1115026999.0,,No Quantity,
Lesotho,2003,All Commodities,Export,478931979.0,,No Quantity,
Lesotho,2002,All Commodities,Export,357951192.0,,No Quantity,
Lesotho,2002,All Commodities,Import,800172044.0,,No Quantity,
Lesotho,2001,All Commodities,Import,598231303.0,,No Quantity,
Lesotho,2001,All Commodities,Export,279594271.0,,No Quantity,
Lesotho,2000,All Commodities,Import,613297962.0,,No Quantity,
Lesotho,2000,All Commodities,Export,336165165.0,,No Quantity,
Libya,2019,All Commodities,Export,29285909087.914,,No Quantity,
Libya,2019,All Commodities,Import,15663796204.0,,No Quantity,
Libya,2018,All Commodities,Import,13472909218.113,,No Quantity,
Libya,2018,All Commodities,Export,30040892184.511,,No Quantity,
Libya,2017,All Commodities,Import,9253728381.226,,No Quantity,
Libya,2017,All Commodities,Export,20135528255.464,,No Quantity,
Libya,2016,All Commodities,Import,10448764403.981,,No Quantity,
Libya,2016,All Commodities,Export,20135528255.464,,No Quantity,
Libya,2010,All Commodities,Import,17674367918.0,,No Quantity,
Libya,2010,All Commodities,Export,36440413733.0,,No Quantity,
Libya,2009,All Commodities,Import,12859378718.0,,No Quantity,
Libya,2009,All Commodities,Export,27255515045.0,,No Quantity,
Libya,2008,All Commodities,Import,9116481950.0,,No Quantity,
Libya,2008,All Commodities,Export,44696436406.0,,No Quantity,
Libya,2007,All Commodities,Import,6748809550.0,,No Quantity,
Libya,2007,All Commodities,Export,32503486809.0,,No Quantity,
Lithuania,2022,All Commodities,Import,55110147908.0,,No Quantity,
Lithuania,2022,All Commodities,Export,46501899036.0,,No Quantity,
Lithuania,2021,All Commodities,Import,44476452628.43,,No Quantity,
Lithuania,2021,All Commodities,Export,40698383278.78,,No Quantity,
Lithuania,2020,All Commodities,Import,33313760619.0,,No Quantity,
Lithuania,2020,All Commodities,Export,32790372365.0,,No Quantity,
Lithuania,2019,All Commodities,Export,33150771896.81,,No Quantity,
Lithuania,2019,All Commodities,Import,35759415639.48,,No Quantity,
Lithuania,2018,All Commodities,Export,33334576736.83,,No Quantity,
Lithuania,2018,All Commodities,Import,36501414404.61,,No Quantity,
Lithuania,2017,All Commodities,Export,29349549370.81,,No Quantity,
Lithuania,2017,All Commodities,Import,30978718199.5,,No Quantity,
Lithuania,2016,All Commodities,Import,27391399189.67,,No Quantity,
Lithuania,2016,All Commodities,Export,25022652473.8,,No Quantity,
Lithuania,2015,All Commodities,Import,28176441602.0,,No Quantity,
Lithuania,2015,All Commodities,Export,25411022244.0,,No Quantity,
Lithuania,2014,All Commodities,Export,32394296287.0,,No Quantity,
Lithuania,2014,All Commodities,Import,35217366877.0,,No Quantity,
Lithuania,2013,All Commodities,Export,32599742784.0,,No Quantity,
Lithuania,2013,All Commodities,Import,34813224764.0,,No Quantity,
Lithuania,2012,All Commodities,Export,29652662128.0,,No Quantity,
Lithuania,2012,All Commodities,Import,32237640017.0,,No Quantity,
Lithuania,2011,All Commodities,Export,28068648237.0,,No Quantity,
Lithuania,2011,All Commodities,Import,31801287866.0,,No Quantity,
Lithuania,2010,All Commodities,Export,20813922632.0,,No Quantity,
Lithuania,2010,All Commodities,Import,23378047393.0,,No Quantity,
Lithuania,2009,All Commodities,Import,18340632878.0,,No Quantity,
Lithuania,2009,All Commodities,Export,16496339312.0,,No Quantity,
Lithuania,2008,All Commodities,Export,23769895309.0,,No Quantity,
Lithuania,2008,All Commodities,Import,31294662543.0,,No Quantity,
Lithuania,2007,All Commodities,Export,17162395776.0,,No Quantity,
Lithuania,2007,All Commodities,Import,24445067457.0,,No Quantity,
Lithuania,2006,All Commodities,Import,19388387912.0,,No Quantity,
Lithuania,2006,All Commodities,Export,14135189599.0,,No Quantity,
Lithuania,2005,All Commodities,Import,15510441646.0,,No Quantity,
Lithuania,2005,All Commodities,Export,11781752803.0,,No Quantity,
Lithuania,2004,All Commodities,Import,12379187104.0,,No Quantity,
Lithuania,2004,All Commodities,Export,9302608608.0,,No Quantity,
Lithuania,2003,All Commodities,Import,9803621823.0,,No Quantity,
Lithuania,2003,All Commodities,Export,7162369874.0,,No Quantity,
Lithuania,2002,All Commodities,Import,7709298630.0,,No Quantity,
Lithuania,2002,All Commodities,Export,5475632489.0,,No Quantity,
Lithuania,2001,All Commodities,Export,4583049510.0,,No Quantity,
Lithuania,2001,All Commodities,Import,6353270703.0,,No Quantity,
Lithuania,2000,All Commodities,Export,3809411151.0,,No Quantity,
Lithuania,2000,All Commodities,Import,5456480316.0,,No Quantity,
Lithuania,1999,All Commodities,Import,4834490072.0,,No Quantity,
Lithuania,1999,All Commodities,Export,3003828561.0,,No Quantity,
Lithuania,1998,All Commodities,Import,5793748992.0,,No Quantity,
Lithuania,1998,All Commodities,Export,3710731520.0,,No Quantity,
Lithuania,1997,All Commodities,Import,5643365888.0,,No Quantity,
Lithuania,1997,All Commodities,Export,3862455552.0,,No Quantity,
Lithuania,1996,All Commodities,Import,4558530048.0,,No Quantity,
Lithuania,1996,All Commodities,Export,3356355072.0,,No Quantity,
Lithuania,1995,All Commodities,Import,3648539392.0,,No Quantity,
Lithuania,1995,All Commodities,Export,2705662208.0,,No Quantity,
Lithuania,1994,All Commodities,Export,2029000000.0,,No Quantity,
Lithuania,1994,All Commodities,Import,2588999986.0,,No Quantity,
Luxembourg,2022,All Commodities,Re-Export,66342623.722,,No Quantity,
Luxembourg,2022,All Commodities,Import,26067681951.737,,No Quantity,
Luxembourg,2022,All Commodities,Export,16809679100.736,,No Quantity,
Luxembourg,2021,All Commodities,Import,25537148234.7,,No Quantity,
Luxembourg,2021,All Commodities,Export,16247126542.139,,No Quantity,
Luxembourg,2021,All Commodities,Re-Export,55602173.515,,No Quantity,
Luxembourg,2020,All Commodities,Import,20882683234.681,,No Quantity,
Luxembourg,2020,All Commodities,Export,13506053445.568,,No Quantity,
Luxembourg,2020,All Commodities,Re-Export,46513286.169,,No Quantity,
Luxembourg,2019,All Commodities,Import,22673692574.437,,No Quantity,
Luxembourg,2019,All Commodities,Export,14667446910.457,,No Quantity,
Luxembourg,2019,All Commodities,Re-Export,48104065.901,,No Quantity,
Luxembourg,2018,All Commodities,Import,23011791533.27,,No Quantity,
Luxembourg,2018,All Commodities,Export,15127093074.638,,No Quantity,
Luxembourg,2018,All Commodities,Re-Export,59538205.096,,No Quantity,
Luxembourg,2017,All Commodities,Export,11517510520.707,,No Quantity,
Luxembourg,2017,All Commodities,Re-Export,69708861.684,,No Quantity,
Luxembourg,2017,All Commodities,Import,21055130454.231,,No Quantity,
Luxembourg,2016,All Commodities,Re-Export,53919442.0,,No Quantity,
Luxembourg,2016,All Commodities,Export,12838381070.0,,No Quantity,
Luxembourg,2016,All Commodities,Import,19123618193.0,,No Quantity,
Luxembourg,2015,All Commodities,Re-Export,50701799.0,,No Quantity,
Luxembourg,2015,All Commodities,Export,12625702669.0,,No Quantity,
Luxembourg,2015,All Commodities,Import,19296337662.0,,No Quantity,
Luxembourg,2014,All Commodities,Re-Export,44561207.0,,No Quantity,
Luxembourg,2014,All Commodities,Export,14790882956.0,,No Quantity,
Luxembourg,2014,All Commodities,Import,23850012349.0,,No Quantity,
Luxembourg,2013,All Commodities,Re-Export,51926788.0,,No Quantity,
Luxembourg,2013,All Commodities,Export,13826005986.0,,No Quantity,
Luxembourg,2013,All Commodities,Import,23934080172.0,,No Quantity,
Luxembourg,2012,All Commodities,Import,24284889959.0,,No Quantity,
Luxembourg,2012,All Commodities,Re-Export,52512186.0,,No Quantity,
Luxembourg,2012,All Commodities,Export,13726902677.0,,No Quantity,
Luxembourg,2011,All Commodities,Re-Export,70066127.0,,No Quantity,
Luxembourg,2011,All Commodities,Export,16307879411.0,,No Quantity,
Luxembourg,2011,All Commodities,Import,25971633904.0,,No Quantity,
Luxembourg,2010,All Commodities,Re-Export,75631650.0,,No Quantity,
Luxembourg,2010,All Commodities,Export,13911259203.0,,No Quantity,
Luxembourg,2010,All Commodities,Import,20399987741.0,,No Quantity,
Luxembourg,2009,All Commodities,Re-Export,77207968.0,,No Quantity,
Luxembourg,2009,All Commodities,Export,12542132517.0,,No Quantity,
Luxembourg,2009,All Commodities,Import,18770617979.0,,No Quantity,
Luxembourg,2008,All Commodities,Re-Export,73531997.0,,No Quantity,
Luxembourg,2008,All Commodities,Export,17380796716.0,,No Quantity,
Luxembourg,2008,All Commodities,Import,25498095369.0,,No Quantity,
Luxembourg,2007,All Commodities,Import,22288700591.0,,No Quantity,
Luxembourg,2007,All Commodities,Export,16197286679.0,,No Quantity,
Luxembourg,2006,All Commodities,Import,19640455309.0,,No Quantity,
Luxembourg,2006,All Commodities,Export,14183095734.0,,No Quantity,
Luxembourg,2005,All Commodities,Import,17585502503.0,,No Quantity,
Luxembourg,2005,All Commodities,Export,12714922011.0,,No Quantity,
Luxembourg,2004,All Commodities,Import,16771715410.0,,No Quantity,
Luxembourg,2004,All Commodities,Export,12167836185.0,,No Quantity,
Luxembourg,2003,All Commodities,Import,13646402935.0,,No Quantity,
Luxembourg,2003,All Commodities,Export,9987082177.0,,No Quantity,
Luxembourg,2002,All Commodities,Import,11528844484.0,,No Quantity,
Luxembourg,2002,All Commodities,Export,8592956315.0,,No Quantity,
Luxembourg,2001,All Commodities,Import,11187657219.0,,No Quantity,
Luxembourg,2001,All Commodities,Export,8259975150.0,,No Quantity,
Luxembourg,2000,All Commodities,Import,10592383579.0,,No Quantity,
Luxembourg,2000,All Commodities,Export,7876174863.0,,No Quantity,
Luxembourg,1999,All Commodities,Import,10346585824.0,,No Quantity,
Luxembourg,1999,All Commodities,Export,7673970126.0,,No Quantity,
Madagascar,2021,All Commodities,Export,2788376340.521,,No Quantity,
Madagascar,2021,All Commodities,Import,4408165392.217,,No Quantity,
Madagascar,2021,All Commodities,Re-Export,34434928.841,,No Quantity,
Madagascar,2020,All Commodities,Re-Export,21895145.711,,No Quantity,
Madagascar,2020,All Commodities,Export,2018921552.915,,No Quantity,
Madagascar,2020,All Commodities,Import,3219636802.033,,No Quantity,
Madagascar,2019,All Commodities,Re-Export,30385582.679,,No Quantity,
Madagascar,2019,All Commodities,Import,3905854367.168,,No Quantity,
Madagascar,2019,All Commodities,Export,2692040605.609,,No Quantity,
Madagascar,2018,All Commodities,Export,3125038219.942,,No Quantity,
Madagascar,2018,All Commodities,Import,4015194598.3,,No Quantity,
Madagascar,2018,All Commodities,Re-Export,38942107.027,,No Quantity,
Madagascar,2017,All Commodities,Import,3667461874.075,,No Quantity,
Madagascar,2017,All Commodities,Export,2929169790.612,,No Quantity,
Madagascar,2017,All Commodities,Re-Export,33207669.229,,No Quantity,
Madagascar,2016,All Commodities,Import,2960959745.09,,No Quantity,
Madagascar,2016,All Commodities,Re-Export,57546898.995,,No Quantity,
Madagascar,2016,All Commodities,Export,2260326098.082,,No Quantity,
Madagascar,2015,All Commodities,Import,2960905154.0,,No Quantity,
Madagascar,2015,All Commodities,Re-Export,49865751.0,,No Quantity,
Madagascar,2015,All Commodities,Export,2164461193.0,,No Quantity,
Madagascar,2014,All Commodities,Import,3305789972.983,,No Quantity,
Madagascar,2014,All Commodities,Export,2214944698.822,,No Quantity,
Madagascar,2014,All Commodities,Re-Export,58319077.261,,No Quantity,
Madagascar,2013,All Commodities,Import,2699414641.0,,No Quantity,
Madagascar,2013,All Commodities,Re-Export,80682449.0,,No Quantity,
Madagascar,2013,All Commodities,Export,1626888977.0,,No Quantity,
Madagascar,2012,All Commodities,Re-Export,31919118.236,,No Quantity,
Madagascar,2012,All Commodities,Import,2474305659.119,,No Quantity,
Madagascar,2012,All Commodities,Export,1197385684.579,,No Quantity,
Madagascar,2011,All Commodities,Import,2730468599.0,,No Quantity,
Madagascar,2011,All Commodities,Re-Export,89908601.0,,No Quantity,
Madagascar,2011,All Commodities,Export,1259683023.0,,No Quantity,
Madagascar,2010,All Commodities,Import,2546194911.0,,No Quantity,
Madagascar,2010,All Commodities,Re-Export,140018745.0,,No Quantity,
Madagascar,2010,All Commodities,Export,1082167741.0,,No Quantity,
Madagascar,2009,All Commodities,Re-Export,104478577.937,,No Quantity,
Madagascar,2009,All Commodities,Export,1083423666.275,,No Quantity,
Madagascar,2009,All Commodities,Import,3182092571.226,,No Quantity,
Madagascar,2008,All Commodities,Import,3878865697.407,,No Quantity,
Madagascar,2008,All Commodities,Re-Export,116006543.148,,No Quantity,
Madagascar,2008,All Commodities,Export,1649992548.914,,No Quantity,
Madagascar,2007,All Commodities,Re-Export,144423187.004,,No Quantity,
Madagascar,2007,All Commodities,Import,2501498467.649,,No Quantity,
Madagascar,2007,All Commodities,Export,1314187477.446,,No Quantity,
Madagascar,2006,All Commodities,Import,1760262530.0,,No Quantity,
Madagascar,2006,All Commodities,Re-Export,74027958.0,,No Quantity,
Madagascar,2006,All Commodities,Export,1008158415.0,,No Quantity,
Madagascar,2005,All Commodities,Import,1685896747.0,,No Quantity,
Madagascar,2005,All Commodities,Re-Export,92655399.0,,No Quantity,
Madagascar,2005,All Commodities,Export,835889826.0,,No Quantity,
Madagascar,2004,All Commodities,Export,1004574857.138,,No Quantity,
Madagascar,2004,All Commodities,Re-Export,84861712.298,,No Quantity,
Madagascar,2004,All Commodities,Import,1760843687.371,,No Quantity,
Madagascar,2003,All Commodities,Import,1298775907.946,,No Quantity,
Madagascar,2003,All Commodities,Re-Export,160957919.826,,No Quantity,
Madagascar,2003,All Commodities,Export,971639762.003,,No Quantity,
Madagascar,2002,All Commodities,Import,601944600.0,,No Quantity,
Madagascar,2002,All Commodities,Re-Export,75211394.0,,No Quantity,
Madagascar,2002,All Commodities,Export,667443725.0,,No Quantity,
Madagascar,2001,All Commodities,Re-Export,141065274.342,,No Quantity,
Madagascar,2001,All Commodities,Import,913103283.305,,No Quantity,
Madagascar,2001,All Commodities,Export,925821980.169,,No Quantity,
Madagascar,2000,All Commodities,Import,990665147.0,,No Quantity,
Madagascar,2000,All Commodities,Re-Export,161563254.0,,No Quantity,
Madagascar,2000,All Commodities,Export,861932001.0,,No Quantity,
Madagascar,1999,All Commodities,Import,505340536.0,,No Quantity,
Madagascar,1999,All Commodities,Export,232759000.0,,No Quantity,
Madagascar,1998,All Commodities,Import,556789568.0,,No Quantity,
Madagascar,1998,All Commodities,Export,234558096.0,,No Quantity,
Madagascar,1997,All Commodities,Import,573047296.0,,No Quantity,
Madagascar,1997,All Commodities,Export,277755424.0,,No Quantity,
Madagascar,1996,All Commodities,Import,602119488.0,,No Quantity,
Madagascar,1996,All Commodities,Export,299049408.0,,No Quantity,
Madagascar,1995,All Commodities,Import,549520064.0,,No Quantity,
Madagascar,1995,All Commodities,Re-Export,9453516.0,,No Quantity,
Madagascar,1995,All Commodities,Export,359872512.0,,No Quantity,
Madagascar,1994,All Commodities,Import,431707968.0,,No Quantity,
Madagascar,1994,All Commodities,Export,326612992.0,,No Quantity,
Madagascar,1993,All Commodities,Import,468596320.0,,No Quantity,
Madagascar,1993,All Commodities,Export,261727120.0,,No Quantity,
Madagascar,1992,All Commodities,Import,391342912.0,,No Quantity,
Madagascar,1992,All Commodities,Export,268887744.0,,No Quantity,
Madagascar,1991,All Commodities,Import,406321728.0,,No Quantity,
Madagascar,1991,All Commodities,Export,295377792.0,,No Quantity,
Madagascar,1990,All Commodities,Import,569311040.0,,No Quantity,
Madagascar,1990,All Commodities,Export,292420992.0,,No Quantity,
Malawi,2021,All Commodities,Re-Export,51139184.772,,No Quantity,
Malawi,2021,All Commodities,Export,1009460778.534,,No Quantity,
Malawi,2021,All Commodities,Import,3073235408.556,,No Quantity,
Malawi,2020,All Commodities,Import,2678347112.868,,No Quantity,
Malawi,2020,All Commodities,Re-Export,41246043.407,,No Quantity,
Malawi,2020,All Commodities,Export,771478822.446,,No Quantity,
Malawi,2019,All Commodities,Re-Export,32809049.715,,No Quantity,
Malawi,2019,All Commodities,Import,2892158547.597,,No Quantity,
Malawi,2019,All Commodities,Export,899120983.807,,No Quantity,
