Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
USA,2022,"Mammals; live, primates",Import,261566111.0,201637.164,Number of items,29612.0,1
USA,2022,"Mammals; live, primates",Export,31200501.0,23426.274,Number of items,3963.0,1
USA,2022,"Mammals; live, primates",Re-Export,26693927.0,20042.603,Number of items,3465.0,1
USA,2022,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Export,6977.0,,Number of items,9.0,1
USA,2022,"Mammals; live, camels and other camelids (Camelidae)",Export,92966.0,,Number of items,216.0,1
USA,2022,"Mammals; live, rabbits and hares",Re-Export,6828.0,2916.078,Number of items,58.0,1
USA,2022,"Mammals; live, rabbits and hares",Export,583847.0,249347.282,Number of items,23407.0,1
USA,2022,"Mammals; live, rabbits and hares",Import,5776386.0,,Number of items,284234.0,1
USA,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Import,78567448.0,,Number of items,662699.0,1
USA,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Export,62469114.0,441125.883,Number of items,527474.0,1
USA,2022,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Re-Export,114595.0,809.213,Number of items,1067.0,1
USA,2022,Reptiles; live (including snakes and turtles),Re-Export,7591.0,,Number of items,30.0,1
USA,2022,Reptiles; live (including snakes and turtles),Export,9671650.0,,Number of items,457495.0,1
USA,2022,Reptiles; live (including snakes and turtles),Import,17821871.0,24082.3,Number of items,1009799.0,1
USA,2022,"Birds; live, birds of prey",Import,47295.0,,Number of items,13.0,1
USA,2022,"Birds; live, birds of prey",Export,896189.0,714.638,Number of items,303.0,1
USA,2022,"Birds; live, Psittaciformes",Export,51238.0,,Number of items,2845.0,1
USA,2022,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",Export,26449.0,,Number of items,126.0,1
USA,2022,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Import,2064737.0,,Number of items,66687.0,1
