Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
Brazil,2022,"Meat; of bovine animals, boneless cuts, frozen",Export,10917859253.0,1842252722.0,Weight in kilograms,1842017321.0,2
Brazil,2022,"Meat; of bovine animals, boneless cuts, frozen",Import,180044939.0,23663825.0,Weight in kilograms,23663825.0,2
Brazil,2022,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",Export,117088.0,26806.0,Weight in kilograms,26800.0,2
Brazil,2022,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",Export,79336.0,18154.0,Weight in kilograms,18154.0,2
Brazil,2022,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",Export,9287282.0,3497619.0,Weight in kilograms,3496678.0,2
Brazil,2022,"Meat; of swine, carcasses and half-carcasses, frozen",Export,8541900.0,5030761.0,Weight in kilograms,5030742.0,2
Brazil,2022,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",Export,33336631.0,22700378.0,Weight in kilograms,22700489.0,2
Brazil,2022,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Export,2355668080.0,982464935.0,Weight in kilograms,982651835.0,2
Brazil,2022,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",Export,99971.0,9719.0,Weight in kilograms,7596.0,2
Brazil,2022,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",Export,27322.0,3250.0,Weight in kilograms,3250.0,2
Brazil,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Export,13818.0,1564.585,Weight in kilograms,1564.585,2
Brazil,2022,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",Export,6311.0,1057.0,Weight in kilograms,1057.0,2
Brazil,2022,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Export,58061.0,5177.0,Weight in kilograms,5193.0,2
Brazil,2022,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Import,35645.0,7019.0,Weight in kilograms,7019.0,2
Brazil,2022,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Export,3846.0,640.0,Weight in kilograms,640.0,2
Brazil,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Export,424885.0,33472.0,Weight in kilograms,33218.0,2
Brazil,2022,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Import,28798671.0,3828077.0,Weight in kilograms,3828077.0,2
Brazil,2022,"Meat; of sheep (including lamb), boneless cuts, frozen",Export,30265.0,2510.0,Weight in kilograms,2510.0,2
Brazil,2022,"Meat; of sheep (including lamb), boneless cuts, frozen",Import,2849061.0,329764.0,Weight in kilograms,329764.0,2
Brazil,2022,"Meat; of goats, fresh, chilled or frozen",Export,20682.0,1923.0,Weight in kilograms,1921.0,2
Brazil,2022,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Export,9051929.0,2863127.265,Weight in kilograms,2863127.265,2
Brazil,2022,"Offal, edible; of bovine animals, fresh or chilled",Export,278613.0,24946.0,Weight in kilograms,24946.0,2
Brazil,2022,"Offal, edible; of bovine animals, tongues, frozen",Export,29359493.0,10177950.0,Weight in kilograms,10177961.0,2
Brazil,2022,"Offal, edible; of bovine animals, livers, frozen",Export,11622468.0,6004388.166,Weight in kilograms,6004306.166,2
Brazil,2022,"Offal, edible; of bovine animals, livers, frozen",Import,13183374.0,9845854.0,Weight in kilograms,9845854.0,2
Brazil,2022,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Export,245737042.0,120911416.0,Weight in kilograms,120908381.0,2
Brazil,2022,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Import,4095496.0,1315745.0,Weight in kilograms,1315745.0,2
Brazil,2022,"Offal, edible; of swine, fresh or chilled",Export,39197.0,11358.0,Weight in kilograms,11181.0,2
Brazil,2022,"Offal, edible; of swine, livers, frozen",Export,4875625.0,7447272.0,Weight in kilograms,7447270.0,2
Brazil,2022,"Offal, edible; of swine, (other than livers), frozen",Export,108312305.0,68219920.0,Weight in kilograms,68219887.0,2
Brazil,2022,"Offal, edible; of swine, (other than livers), frozen",Import,2551637.0,3250825.0,Weight in kilograms,3250825.0,2
Brazil,2022,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",Export,118.0,55.0,Weight in kilograms,55.0,2
Brazil,2022,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Export,603663.0,665627.0,Weight in kilograms,665627.0,2
Brazil,2022,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Import,30584.0,21805.0,Weight in kilograms,21805.0,2
Brazil,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",Export,104316.0,35279.0,Weight in kilograms,35279.0,2
Brazil,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Export,1948779988.0,1015892757.0,Weight in kilograms,1015907550.0,2
Brazil,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",Export,650252.0,358526.103,Weight in kilograms,358105.103,2
Brazil,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Export,6744061056.0,3350574685.0,Weight in kilograms,3352041963.0,2
Brazil,2022,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Import,13823808.0,4821333.0,Weight in kilograms,4821333.0,2
Brazil,2022,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",Export,1192.0,366.0,Weight in kilograms,251.0,2
Brazil,2022,"Meat and edible offal; of turkeys, not cut in pieces, frozen",Export,405801.0,125671.0,Weight in kilograms,125530.0,2
Brazil,2022,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",Export,1583.0,227.0,Weight in kilograms,227.0,2
Brazil,2022,"Meat and edible offal; of turkeys, cuts and offal, frozen",Export,183119700.0,56786412.0,Weight in kilograms,56833612.0,2
Brazil,2022,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",Export,2945.0,615.0,Weight in kilograms,615.0,2
Brazil,2022,"Meat and edible offal; of ducks, not cut in pieces, frozen",Export,9324148.0,2696243.0,Weight in kilograms,2695998.0,2
Brazil,2022,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",Export,4289.0,484.0,Weight in kilograms,484.0,2
Brazil,2022,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Export,1671546.0,251755.0,Weight in kilograms,251755.0,2
Brazil,2022,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Import,246381.0,8158.0,Weight in kilograms,8158.0,2
Brazil,2022,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen",Export,5365.0,1173.0,Weight in kilograms,1173.0,2
Brazil,2022,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",Export,874.0,161.0,Weight in kilograms,75.0,2
Brazil,2022,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",Import,25280.0,4472.0,Weight in kilograms,4472.0,2
Brazil,2022,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen",Export,84.0,10.0,Weight in kilograms,10.0,2
Brazil,2022,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen",Export,10215.0,1588.0,Weight in kilograms,1588.0,2
Brazil,2022,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Export,701612.0,391275.0,Weight in kilograms,390677.0,2
Brazil,2022,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Import,7960896.0,4670396.0,Weight in kilograms,4670396.0,2
Brazil,2022,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Export,44858.0,54012.0,Weight in kilograms,54012.0,2
Brazil,2022,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",Export,48704.0,15664.0,Weight in kilograms,15680.0,2
Brazil,2022,"Meat; salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in",Import,1012143.0,107259.0,Weight in kilograms,107259.0,2
Brazil,2022,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",Export,508565.0,101120.573,Weight in kilograms,100199.573,2
Brazil,2022,"Meat; salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof",Import,71850.0,8698.0,Weight in kilograms,8698.0,2
Brazil,2022,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",Export,1906833.0,434976.369,Weight in kilograms,433801.369,2
Brazil,2022,"Meat; salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1",Import,16829672.0,1697517.0,Weight in kilograms,1697517.0,2
Brazil,2022,"Meat; salted, in brine, dried or smoked, of bovine animals",Export,7163116.0,1256249.0,Weight in kilograms,1273471.0,2
Brazil,2022,"Meat; salted, in brine, dried or smoked, of bovine animals",Import,16087.0,845.0,Weight in kilograms,845.0,2
Brazil,2022,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates",Export,186.0,17.0,Weight in kilograms,17.0,2
Brazil,2022,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)",Export,452273586.0,171271312.379,Weight in kilograms,171425097.379,2
Brazil,2022,"Fish; live, ornamental, freshwater",Export,6659629.0,61065.736,Weight in kilograms,61065.736,3
Brazil,2022,"Fish; live, ornamental, freshwater",Import,82129.0,5182.485,Weight in kilograms,5182.485,3
Brazil,2022,"Fish; live, ornamental, other than freshwater",Export,412359.0,2365.223,Weight in kilograms,2365.223,3
Brazil,2022,"Fish; live, ornamental, other than freshwater",Import,179884.0,8067.09,Weight in kilograms,8067.09,3
Brazil,2022,"Fish; live, n.e.c. in heading 0301",Export,22762.0,5442.0,Weight in kilograms,5444.0,3
Brazil,2022,"Fish; live, n.e.c. in heading 0301",Import,107.0,7.852,Weight in kilograms,7.852,3
Brazil,2022,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",Export,975.0,315.0,Weight in kilograms,315.0,3
